geoitem;geolevel;period;d_40a
cr37;corop_code;2004;1025
cr37;corop_code;2005;952
cr37;corop_code;2006;1609
cr37;corop_code;2007;1409
cr37;corop_code;2008;1184
cr37;corop_code;2009;879
cr37;corop_code;2010;1204
cr37;corop_code;2011;842
cr37;corop_code;2012;716
cr37;corop_code;2013;567
cr37;corop_code;2014;835
cr37;corop_code;2015;425
cr37;corop_code;2016;786
cr37;corop_code;2017;764
cr37;corop_code;2018;866
cr37;corop_code;2019;816
cr37;corop_code;2020;1098
cr37;corop_code;2021;1082
cr37;corop_code;2022;1169
cr37;corop_code;2023;1095
cr37;corop_code;2024;532
cr38;corop_code;2004;1227
cr38;corop_code;2005;1044
cr38;corop_code;2006;940
cr38;corop_code;2007;1237
cr38;corop_code;2008;1268
cr38;corop_code;2009;1364
cr38;corop_code;2010;651
cr38;corop_code;2011;666
cr38;corop_code;2012;902
cr38;corop_code;2013;557
cr38;corop_code;2014;303
cr38;corop_code;2015;524
cr38;corop_code;2016;579
cr38;corop_code;2017;768
cr38;corop_code;2018;673
cr38;corop_code;2019;1053
cr38;corop_code;2020;1312
cr38;corop_code;2021;901
cr38;corop_code;2022;1190
cr38;corop_code;2023;987
cr38;corop_code;2024;494
cr39;corop_code;2004;1372
cr39;corop_code;2005;1971
cr39;corop_code;2006;2334
cr39;corop_code;2007;1755
cr39;corop_code;2008;2412
cr39;corop_code;2009;1843
cr39;corop_code;2010;1324
cr39;corop_code;2011;1722
cr39;corop_code;2012;1068
cr39;corop_code;2013;871
cr39;corop_code;2014;920
cr39;corop_code;2015;578
cr39;corop_code;2016;1965
cr39;corop_code;2017;1097
cr39;corop_code;2018;1344
cr39;corop_code;2019;1466
cr39;corop_code;2020;1794
cr39;corop_code;2021;1814
cr39;corop_code;2022;2146
cr39;corop_code;2023;1892
cr39;corop_code;2024;966
