geoitem;geolevel;period;MO_10a
cr38;corop_id;2014;4,137999391096232
cr38;corop_id;2018;4,174160268978648
cr38;corop_id;2020;4,174490202273702
cr38;corop_id;2022;4,184928001646139
cr38;corop_id;2024;4,1919458300317345
cr37;corop_id;2014;4,119819759627326
cr37;corop_id;2018;4,134955063508394
cr37;corop_id;2020;4,141647304351801
cr37;corop_id;2022;4,140316259577004
cr37;corop_id;2024;4,142386889744774
cr39;corop_id;2014;4,0941911164810385
cr39;corop_id;2018;4,126161427141661
cr39;corop_id;2020;4,136213847267842
cr39;corop_id;2022;4,149362994879975
cr39;corop_id;2024;4,152983559868629
