geoitem;MO_11b;dim_tevredenheid_1;period;geolevel
pv31;51;zeer_tevreden;2009;prov_code
pv31;45;zeer_tevreden;2012;prov_code
pv31;42;zeer_tevreden;2015;prov_code
pv31;40;zeer_tevreden;2018;prov_code
pv31;46;zeer_tevreden;2021;prov_code
pv31;39;zeer_tevreden;2024;prov_code
pv31;40;tevreden;2009;prov_code
pv31;45;tevreden;2012;prov_code
pv31;47;tevreden;2015;prov_code
pv31;47;tevreden;2018;prov_code
pv31;42;tevreden;2021;prov_code
pv31;46;tevreden;2024;prov_code
pv31;6;niet_tevreden_maar_ook_niet_ontevreden;2009;prov_code
pv31;7;niet_tevreden_maar_ook_niet_ontevreden;2012;prov_code
pv31;7;niet_tevreden_maar_ook_niet_ontevreden;2015;prov_code
pv31;10;niet_tevreden_maar_ook_niet_ontevreden;2018;prov_code
pv31;9;niet_tevreden_maar_ook_niet_ontevreden;2021;prov_code
pv31;11;niet_tevreden_maar_ook_niet_ontevreden;2024;prov_code
pv31;2;ontevreden;2009;prov_code
pv31;2;ontevreden;2012;prov_code
pv31;2;ontevreden;2015;prov_code
pv31;2;ontevreden;2018;prov_code
pv31;2;ontevreden;2021;prov_code
pv31;2;ontevreden;2024;prov_code
pv31;1;zeer_ontevreden;2009;prov_code
pv31;1;zeer_ontevreden;2012;prov_code
pv31;1;zeer_ontevreden;2015;prov_code
pv31;1;zeer_ontevreden;2018;prov_code
pv31;0;zeer_ontevreden;2021;prov_code
pv31;2;zeer_ontevreden;2024;prov_code
